Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Different versions of the same system chaincode cannot exist simultaneously,FAB-9686,29648,Bug,In Progress,FAB,Fabric,software,ChristopherFerris,,,Medium,,jyellick,jyellick,jyellick,24/Apr/18 4:13 PM,24/Apr/18 8:19 PM,26/Apr/18 6:50 AM,,,,,,,,v1.3,,,fabric-peer,,,,0,,,,,,,,,The peer codebase currently assumes that all system chaincodes are at the version of the current peer binary.  This makes backwards compatibility very difficult and generally breaks the idea of versioning system chaincode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-8724,0|i02g51:,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTE not handling IBP Enterprise data structures,FAB-9665,29619,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,dongming,holocron,holocron,23/Apr/18 8:34 PM,24/Apr/18 2:24 PM,26/Apr/18 6:50 AM,24/Apr/18 2:24 PM,,,,,,,,,,fabric-tools,,,,0,,,,,,,,,"PTE is not handling the data structures as defined by the IBP Enterprise offering, specifically, the peer names (keys) are not ""peer"" but instead something like ""fabric-peer-org1-20399c"".

 

This leads to problems like:


{{info: [PTE 0 main]: request_install: \{""targets"":[],""chaincodePath"":""github.com/hyperledger/fabric-sdk-node/test/fixtures/src/github.com/sample_cc"",""chaincodeId"":""sample_cc_ch"",""chaincodeType"":""golang"",""chaincodeVersion"":""v0""}}}
{{error: [Client.js]: installChaincode error Missing peer objects in install chaincode request}}
{{error: [PTE 0 main]: Failed to enroll user 'admin'. Error: Missing peer objects in install chaincode request}}

 

I have a fix that I intend to create a CR for, essential doing a change all on

{{key.indexOf('peer') === 0}}

to

{{key.includes('peer')}}

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2247,0|i02fzh:,,,,,,,,holocron,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup endorser ProcessProposal log message,FAB-9653,29606,Bug,In Review,FAB,Fabric,software,ChristopherFerris,,,Medium,,wlahti,wlahti,wlahti,23/Apr/18 3:46 PM,23/Apr/18 4:03 PM,26/Apr/18 6:50 AM,,,,,,,,,,,fabric-endorser,,,,0,,,,,,,,,"The endorser currently logs the following message when it completes processing a proposal: 
{code:java}
2018-04-23 15:43:21.382 UTC [endorser] ProcessProposal -> DEBU 6ae Exit: request from%!(EXTRA string=172.22.0.14:59776){code}
This should be cleaned up to read: 
{code:java}
2018-04-23 15:43:21.382 UTC [endorser] ProcessProposal -> DEBU 6ae Exit: request from 172.22.0.14:59776{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fxp:,,,,,,,,wlahti,,,,,,,,,,,,,,23/Apr/18 4:03 PM;wlahti;https://gerrit.hyperledger.org/r/c/20895/,,,,,,,,,,,,,,,,,,,,,,,
Return an error if collection isn't found,FAB-9643,29586,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,22/Apr/18 1:18 PM,23/Apr/18 2:35 AM,26/Apr/18 6:50 AM,23/Apr/18 2:35 AM,,,,,,,,,,fabric-peer,,,,0,,,,,,,,,"The simpleCollectionStore implementation returns nil, nil in case the collection isn't found when calling RetrieveCollection .
{code:java}
func (c *simpleCollectionStore) retrieveSimpleCollection(cc common.CollectionCriteria) (*SimpleCollection, error) {
    collections, err := c.retrieveCollectionConfigPackage(cc)
    if err != nil {
        return nil, err
    }
    if collections == nil {
        return nil, nil
    }{code}
Gossip checks for the error and assumes that if error is nil then the collection has been retrieved, though it isn't so.

However, it's safe to omit this ""if collections == nil"" check because the function retrieveCollectionConfigPackage never actually returns nil, nil:
{code:java}
func (c *simpleCollectionStore) retrieveCollectionConfigPackage(cc common.CollectionCriteria) (*common.CollectionConfigPackage, error) {
    qe, err := c.s.GetQueryExecutorForLedger(cc.Channel)
    if err != nil {
        return nil, errors.WithMessage(err, fmt.Sprintf(""could not retrieve query executor for collection criteria %#v"", cc))
    }
    defer qe.Done()

    cb, err := qe.GetState(""lscc"", c.s.GetCollectionKVSKey(cc))
    if err != nil {
        return nil, errors.WithMessage(err, fmt.Sprintf(""error while retrieving collection for collection criteria %#v"", cc))
    }
    if cb == nil {
        return nil, NoSuchCollectionError(cc)
    }

    collections := &common.CollectionConfigPackage{}
    err = proto.Unmarshal(cb, collections)
    if err != nil {
        return nil, errors.Wrapf(err, ""invalid configuration for collection criteria %#v"", cc)
    }

    return collections, nil
}{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fu5:,,,,,,,,yacovm,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
deduplicate -> ERRO 008 Principal deserialization failure (the supplied identity is not valid: x509: certificate signed by unknown authority,FAB-9635,29578,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,abdulrashid,abdulrashid,21/Apr/18 1:00 PM,21/Apr/18 1:02 PM,26/Apr/18 6:50 AM,,,,,,,,,,,,,,,0,,,,,,,,,"Error is shown in the attachment name: Screen Shot 2018-04-21 at 3.52.38 PM.png

Steps to Reproduce the error

Step 1: Create a Folder called *bigproject* and Download and Extract *project1 and 2.zip*

Step 2: change your working directory to bigproject/project1

Step 3: run the command `docker-compose -f docker-compose-cli.yaml up`

Step 4: open another terminal run the following commands

_*export IMAGE_TAG=latest*_

_*docker start cli*_

_*docker exec -it cli bash*_

 

_Now you should get the error as shown in the attached *Screen Shot 2018-04-21 at 3.52.38 PM.png*_

 

 

Project 2 is the working example. WHich is literally same as *Project 1*, except *Project 2* has two Organization peer, *Project 1* has one organization peer.","Error is shown in the attachment name: Screen Shot 2018-04-21 at 3.52.38 PM.png

Steps to Reproduce the error

Step 1: Create a Folder called *bigproject* and Download and Extract *project1 and 2.zip*

Step 2: change your working directory to bigproject/project1

Step 3: run the command `docker-compose -f docker-compose-cli.yaml up`

Step 4: open another terminal run the following commands

_*export IMAGE_TAG=latest*_

_*docker start cli*_

_*docker exec -it cli bash*_

 

_Now you should get the error as shown in the attached *Screen Shot 2018-04-21 at 3.52.38 PM.png*_

 

 

Project 2 is the working example. WHich is literally same as *Project 1*, except *Project 2* has two Organization peer, *Project 1* has one organization peer.",,,,,,,,,,,,,,,,,,,21/Apr/18 12:54 PM;abdulrashid;Screen Shot 2018-04-21 at 3.52.38 PM.png;https://jira.hyperledger.org/secure/attachment/14906/Screen+Shot+2018-04-21+at+3.52.38+PM.png,21/Apr/18 12:53 PM;abdulrashid;project1 and 2.zip;https://jira.hyperledger.org/secure/attachment/14905/project1+and+2.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fsd:,,,,,,,,abdulrashid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""src"" is appending to ""channelTX"" directory when ""gopath"" is not defined ",FAB-9612,29545,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,dongming,rameshthoomu,rameshthoomu,20/Apr/18 12:46 PM,25/Apr/18 7:45 PM,26/Apr/18 6:50 AM,25/Apr/18 7:45 PM,,,,,,,v1.2,,,fabric-quality,,,,0,,,,,,,,,"While executing Fabric multihost tests through ATD (Ansible Test Driver), observed the below error.
{code:java}
info: [PTE 0 main]: [createOneChannel] channelTX:  /opt/gopath/src/var/hyperledger/fabric/artifacts/testorgschannel1.tx
fs.js:646
  return binding.open(pathModule._makeLong(path), stringToFlags(flags), mode);
                 ^
Error: ENOENT: no such file or directory, open '/opt/gopath/src/var/hyperledger/fabric/artifacts/testorgschannel1.tx'
    at Object.fs.openSync (fs.js:646:18)
    at Object.fs.readFileSync (fs.js:551:33)
    at createOneChannel (/opt/gopath/src/github.com/hyperledger/fabric-test/fabric-sdk-node/test/PTE/pte-main.js:696:25){code}
PTE Config:

[https://github.com/hyperledger/fabric-test/blob/59542e63b52e485bbd7baad1171bff155780f62d/tools/PTE/pte-main.js#L693]

ATD Config:

https://github.com/hyperledger/fabric-test/blob/master/tools/ATD/roles/tool_pte/ptesetup/templates/samplecc-chan-create-TLS.j2#L15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2247,0|i02flh:,,,,,,,,dongming,rameshthoomu,,,,,,,,,master,,,true,25/Apr/18 5:41 PM;dongming;https://gerrit.hyperledger.org/r/#/c/21005/,,,,,,,,,,,,,,,,,,,,,,,
Unsupported chaincode fields appear supported,FAB-9610,29542,Bug,In Review,FAB,Fabric,software,ChristopherFerris,,,Medium,,jyellick,jyellick,jyellick,20/Apr/18 5:21 AM,20/Apr/18 5:32 AM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-peer,,,,0,hygiene,quality,,,,,,,"There are two notable chaincode proto fields which have no actual affect and are in fact a bit nonsensical in v1.0, but we continue to appear to support.  These fields are:

ChaincodeDeploymentSpec
    // Controls when the chaincode becomes executable.
    google.protobuf.Timestamp effective_date = 2;

ChaincodeInvocationSpec
    string id_generation_alg = 2;

The latter is especially troublesome, as the peer CLI still exposes it as an option, with no actual effect.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-8724,0|i02fl1:,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead code paths in chaincode container service,FAB-9603,29529,Bug,In Review,FAB,Fabric,software,ChristopherFerris,,,Medium,,jyellick,jyellick,jyellick,19/Apr/18 6:43 PM,19/Apr/18 6:44 PM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-peer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fi5:,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System trust store loaded per request,FAB-9601,29527,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,divyank,divyank,divyank,19/Apr/18 6:22 PM,24/Apr/18 6:25 PM,26/Apr/18 6:50 AM,20/Apr/18 7:43 PM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,This is extremely slow on a system with many certificates in the system trust store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fhp:,,,,,,,,divyank,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Channel membership is refreshed even when channel config does not change,FAB-9598,29523,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,divyank,divyank,divyank,19/Apr/18 5:07 PM,19/Apr/18 7:19 PM,26/Apr/18 6:50 AM,19/Apr/18 7:19 PM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fh1:,,,,,,,,divyank,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Retry: DefaultChClientOptions inconsistent with DefaultResMgmtOptions,FAB-9596,29521,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,sandrav,sandrav,sandrav,19/Apr/18 4:22 PM,20/Apr/18 2:54 PM,26/Apr/18 6:50 AM,20/Apr/18 2:54 PM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,retry.DefaultChClientOptions inconsistent with retry.DefaultResMgmtOptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fgl:,,,,,,,,sandrav,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Peer is not able to recognize PKCS11 Docker Environment Variable,FAB-9595,29520,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,rhegde,rhegde,19/Apr/18 3:53 PM,20/Apr/18 10:24 PM,26/Apr/18 6:50 AM,,,,,,,,,,,fabric-orderer,fabric-peer,,,0,,,,,,,,,"Release -  Fabric v1.0.4

I have a peer running on PKCS11. PKCS11 is enabled using core.yaml file. I am trying now to replace the core.yaml with corresponding docker environment variable. However Peer fails to starts with following message
{code:java}
2018-03-15 18:27:35.783 UTC [main] main -> ERRO 001 Cannot run peer because error when setting up MSP from directory /etc/hyperledger/fabric/msp: err Could not initialize BCCSP Factories [Failed initializing SW.BCCSP [Could not initialize BCCSP SW [Failed to initialize software key store: An invalid KeyStore path provided. Path cannot be an empty string.]] Could not find default `PKCS11` BCCSP] {code}
 

I have set the following compose variable.

 
{code:java}
- CORE_PEER_BCCSP_DEFAULT=PKCS11

- CORE_PEER_BCCSP_PKCS11_LABEL=...

- CORE_PEER_BCCSP_PKCS11_LIBRARY=...

- CORE_PEER_BCCSP_PKCS11_PIN=...
{code}
{{Need to also check for Orderer.}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fgd:,,,,,,,,jyellick,rhegde,,,,,,,,,,,,,"19/Apr/18 5:14 PM;jyellick;I believe this config is not under peer, so the variables you are looking for would actually be {{CORE_BCCSP_PKCS11_PIN}} etc.","20/Apr/18 10:24 PM;rhegde;I am able to use the following 3 flags
{code:java}
- CORE_PEER_BCCSP_PKCS11_LABEL=...
- CORE_PEER_BCCSP_PKCS11_LIBRARY=...
- CORE_PEER_BCCSP_PKCS11_PIN=...{code}
 

However setting - CORE_PEER_BCCSP_DEFAULT=PKCS11 makes PEER unhappy and crashes with the above message. To make peer understand that it is running in PKSC11 - the only option is to update PKCS11 in a core.yaml.

I tried using - CORE_BCCSP_DEFAULT=PKCS11 but that does not work and gives (looks like it is set to SW - which is the default)
{code:java}
2018-04-20 22:10:49.362 UTC [main] main -> ERRO 001 Cannot run peer because error when setting up MSP from directory /etc/hyperledger/fabric/msp: err KeyMaterial not found in SigningIdentityInfo{code}",,,,,,,,,,,,,,,,,,,,,,
docker install for fabric environment,FAB-9586,29506,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,YanKun,YanKun,19/Apr/18 8:32 AM,19/Apr/18 8:32 AM,26/Apr/18 6:50 AM,,,,,,,,,,,,,,,0,,,,,,,,,Just add a script from docker to install docker.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fd9:,,,,,,,,YanKun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix warnings emitted during e2e,FAB-9584,29504,Bug,In Review,FAB,Fabric,software,ChristopherFerris,,,Medium,,jyellick,jyellick,jyellick,19/Apr/18 5:11 AM,19/Apr/18 5:11 AM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-peer,,,,0,,,,,,,,,"Because of some changes to configtxgen deprecating certain function, there are now warnings in the e2e.  These should be fixed up so as to set a good example for others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fct:,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panic when discovering local peers,FAB-9578,29490,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,bstasyszyn,bstasyszyn,18/Apr/18 7:43 PM,19/Apr/18 11:47 AM,26/Apr/18 6:50 AM,19/Apr/18 8:42 AM,,,,,,,,,,fabric-gossip,,,,0,,,,,,,,,"Sending a discovery request with a local peers query causes a panic on the peer:

req := discclient.NewRequest().AddLocalPeersQuery()
client.Send(ctx, req, target)

... results in the following panic:

org1peer1_1      | 2018-04-18 19:19:11.690 UTC [discovery/acl] ConfigSequence -> CRIT 0c8 Failed obtaining channel config for channel 
org1peer1_1      | panic: Failed obtaining channel config for channel
org1peer1_1      | 
org1peer1_1      | goroutine 723 [running]:
org1peer1_1      | github.com/hyperledger/fabric/vendor/github.com/op/go-logging.(*Logger).Panic(0xc4202c8090, 0xc4223b72e0, 0x2, 0x2)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/op/go-logging/logger.go:188 +0xbd
org1peer1_1      | github.com/hyperledger/fabric/discovery/support/acl.(*DiscoverySupport).ConfigSequence(0xc42198cf60, 0x0, 0x0, 0x46)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/discovery/support/acl/support.go:79 +0x288
org1peer1_1      | github.com/hyperledger/fabric/discovery.(*accessCache).EligibleForService(0xc42003f7c0, 0xc421e56700, 0x34e, 0x34e, 0xc421e56a80, 0x322, 0x322, 0xc421e1c5a0, 0x46, 0x46, ...)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/discovery/authcache.go:104 +0x1e4
org1peer1_1      | github.com/hyperledger/fabric/discovery.(*authCache).EligibleForService(0xc4202f3980, 0x0, 0x0, 0xc421e56700, 0x34e, 0x34e, 0xc421e56a80, 0x322, 0x322, 0xc421e1c5a0, ...)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/discovery/authcache.go:79 +0xe0
org1peer1_1      | github.com/hyperledger/fabric/discovery.(*service).processQuery(0xc4202f39c0, 0xc4223b71a0, 0xc421e19170, 0xc421e56a80, 0x322, 0x322, 0xc421e4a130, 0x10, 0x0)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/discovery/service.go:96 +0x148
org1peer1_1      | github.com/hyperledger/fabric/discovery.(*service).Discover(0xc4202f39c0, 0xfc48a0, 0xc421e190b0, 0xc421e19170, 0xc4202f39c0, 0xc421e19150, 0xc421feca70)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/discovery/service.go:84 +0x193
org1peer1_1      | github.com/hyperledger/fabric/protos/discovery._Discovery_Discover_Handler(0xea63e0, 0xc4202f39c0, 0xfc48a0, 0xc421e190b0, 0xc421e3e1c0, 0x0, 0x0, 0x0, 0x20, 0x0)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/protos/discovery/protocol.pb.go:902 +0x241
org1peer1_1      | github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*Server).processUnaryRPC(0xc4201ea000, 0xfc7ee0, 0xc421971e00, 0xc421e8c000, 0xc42198d380, 0x165ee10, 0xc421e19140, 0x0, 0x0)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/server.go:920 +0x848
org1peer1_1      | github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*Server).handleStream(0xc4201ea000, 0xfc7ee0, 0xc421971e00, 0xc421e8c000, 0xc421e19140)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/server.go:1142 +0x1318
org1peer1_1      | github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*Server).serveStreams.func1.1(0xc42199f080, 0xc4201ea000, 0xfc7ee0, 0xc421971e00, 0xc421e8c000)
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/server.go:637 +0x9f
org1peer1_1      | created by github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*Server).serveStreams.func1
org1peer1_1      | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/server.go:635 +0xa1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-8779,0|i02f9x:,,,,,,,,bstasyszyn,yacovm,,,,,,,,,master,,,true,18/Apr/18 8:02 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/20739/,"18/Apr/18 8:16 PM;yacovm;Totally forgot about that config sequence check... sorry about that :) 
That's what happens when you're too eager to deliver.

I tested this change set locally with my own hacky discovery CLI and it works:
{code}
root@9bc7a33f30a1:/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/users/Admin@org1.example.com# ./discli --cert msp/signcerts/Admin\@org1.example.com-cert.pem --channel mychannel --endpoint peer0.org1.example.com:7051 --key msp/keystore/04d2fdbc711524c7a4f9a0586a4b30803b0f33f2613050e046ceaa0bc38ecc5f_sk --msp Org1MSP --tlsCA tls/ca.crt --tlsCert tls/client.crt --tlsKey tls/client.key 
2018-04-18 20:15:20.540 UTC [bccsp] GetDefault -> WARN 001 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
2018-04-18 20:15:20.541 UTC [bccsp] GetDefault -> WARN 002 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
Org1MSP peer0.org1.example.com:7051
Org1MSP peer1.org1.example.com:7051
Org2MSP peer1.org2.example.com:7051
Org2MSP peer0.org2.example.com:7051

{code}","19/Apr/18 8:42 AM;yacovm;Setting this to done, as I tested it locally, but feel free to re-open this JIRA if you check and see it isn't fixed.",19/Apr/18 11:47 AM;bstasyszyn;I tested the fix and it works for me. Thx.,,,,,,,,,,,,,,,,,,,,
Timezone import error when using python2.7 ,FAB-9566,29467,Bug,Invalid,FAB,Fabric,software,ChristopherFerris,,,Medium,,bjlhe,bjlhe,bjlhe,18/Apr/18 2:47 AM,18/Apr/18 8:08 AM,26/Apr/18 6:50 AM,,,,,,,,,,,fabric-sdk-py,,,,0,,,,,,,,,"For test module 'test/uni/block_decoder_test.py'

from datetime import timezone

Import error happens with : cannot import name timezone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02cuo:,,,,,,,,bjlhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Flag Name in Commands Reference,FAB-9564,29465,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,ynamiki,ynamiki,ynamiki,18/Apr/18 12:39 AM,21/Apr/18 11:57 AM,26/Apr/18 6:50 AM,21/Apr/18 11:56 AM,,,,,,,Abandoned,,,fabric-docs,,,,0,,,,,,,,,"In the Command Reference, `peer channel` command has `--clientuth` flag, which is wrong; it should be `--clientauth`.

http://hyperledger-fabric.readthedocs.io/en/master/commands/peerchannel.html?highlight=clientuth
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02f4t:,,,,,,,,ynamiki,,,,,,,,,,,,,,18/Apr/18 12:46 AM;ynamiki;https://gerrit.hyperledger.org/r/20701,,,,,,,,,,,,,,,,,,,,,,,
Typo in fabric/msp-identity-validity-rules,FAB-9562,29463,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,nnao,nnao,nnao,17/Apr/18 10:24 PM,20/Apr/18 5:02 PM,26/Apr/18 6:50 AM,20/Apr/18 5:02 PM,v1.1,,,,,,v1.1.1,v1.2,,fabric-docs,,,,0,Documentation,,,,,,,,"{color:#000000}I found a {color}{color:#000000}typo{color}{color:#000000} at line 29 in {color}{color:#212121}fabric/msp-identity-validity-rules{color}{color:#000000}.rst.{color}
{color:#000000}It seems to be ""and"" instead of ""an"".{color}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02f4d:,,,,,,,,mastersingh24,nnao,,,,,,,,,release-1.1,master,,true,17/Apr/18 10:51 PM;nnao;https://gerrit.hyperledger.org/r/c/20697/,20/Apr/18 4:21 PM;mastersingh24;https://gerrit.hyperledger.org/r/20823   cherrypick to release-1.1,,,,,,,,,,,,,,,,,,,,,,
Runtime not working in Vagrant environments,FAB-9553,29450,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,denyeart,denyeart,denyeart,17/Apr/18 5:12 PM,19/Apr/18 5:25 PM,26/Apr/18 6:50 AM,19/Apr/18 5:25 PM,,,,,,,v1.2,,,fabric-devenv,,,,0,,,,,,,,,"Recent changes have broken runtime in Vagrant environments:
 * binaries directory has changed from /build/bin directory to /.build/bin directory
 * /fabric/sampleconfig directory no longer picked up by default, must specify FABRIC_CFG_PATH env variable.

The change fixes Vagrant environment accordingly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzygi:bc,,,,,,,,denyeart,,,,,,,,,,master,,,true,17/Apr/18 5:14 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/20677/,,,,,,,,,,,,,,,,,,,,,,,
"Curl command is in google, not accessable in China",FAB-9547,29444,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,luomin,negupta,negupta,17/Apr/18 12:46 PM,18/Apr/18 2:01 AM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-docs,,,,0,Documentation,,,,,,,,"[https://hyperledger-fabric.readthedocs.io/en/latest/install.html]

On this page the binaries and samples are accessible via a google curl, which is not accessible in china.

curl -sSL https://goo.gl/6wtTN5 | bash -s 1.1.0",,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzyge:i,,,,,,,,luomin,negupta,,,,,,,,,,,,,17/Apr/18 12:48 PM;negupta;[~ChristopherFerris],"18/Apr/18 1:59 AM;luomin;I confirmed the access from the mainland China just now,

goo.gl service is NOT available,

alternative (oversea URL shortener) service that works in mainland China includes:

[https://bit.ly|https://bit.ly/]

[https://tinyurl.com/]  <-  very slow

 

e.g. [https://bit.ly/2ByjiYZ]  works",,,,,,,,,,,,,,,,,,,,,,
Remove ephemeral from config,FAB-9543,29436,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,sandrav,sandrav,sandrav,16/Apr/18 8:46 PM,19/Apr/18 5:35 PM,26/Apr/18 6:50 AM,19/Apr/18 5:35 PM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,Remove ephemeral from config.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02ez1:,,,,,,,,sandrav,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
